proxy,model,model_display,n,unique_problems,abstentions,odds_ratio_abstention_per_10pp_confidence,ci_low,ci_high,bootstrap_successes,bootstrap_failures,fit_status,fixed_effects
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,400,100,5,0.39701150022884013,0.013814007774907516,0.9383363265832276,1736,264,ok,setting
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,371,98,6,0.70155449599475,0.4127587887592509,1.0588549926378765,1723,277,ok,setting
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,400,100,4,1.630169571838262,0.9736082451299538,11.263263865115876,1895,105,ok,setting
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,398,100,21,0.8320393916195155,0.6414555765589297,1.008385597539066,2000,0,ok,setting
setting_matched,qwen3.5-397b,Qwen3.5-397B,382,100,18,0.8507566720760069,0.7151662997662526,10.524595479238455,2000,0,ok,setting
setting_matched,All models,All models,1951,100,54,0.7917581587019213,0.7367542756339317,0.8857158632214032,2000,0,ok,setting + model
question_mean,claude-haiku-4-5,Claude Haiku 4.5,400,100,5,0.22084753852745442,0.019565487892738005,0.8040878760098981,1711,289,ok,setting
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,377,98,6,0.6179805723984588,0.04864933863910763,0.9907556720337113,1749,251,ok,setting
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,400,100,4,0.8512324534374136,0.27535454605481297,24.080336781246594,1923,77,ok,setting
question_mean,gpt-5.4-nano,GPT-5.4 Nano,399,100,21,0.7635838961170801,0.520805801405941,1.0110094166253527,2000,0,ok,setting
question_mean,qwen3.5-397b,Qwen3.5-397B,395,100,19,0.8385847635016526,0.6288062511569353,4.231862097621823,2000,0,ok,setting
question_mean,All models,All models,1971,100,55,0.6909325224289201,0.6172682461669754,0.8152916101969058,2000,0,ok,setting + model
