model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,0,0–10%,1,0,0.0,0.0,0.7934506856227626,0.05,0.05,0.05
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,1,10–20%,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.13333333333333333,0.1,0.15
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,2,20–30%,9,0,0.0,0.0,0.2991450484195441,0.25,0.25,0.25
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,3,30–40%,4,0,0.0,0.0,0.4898908364545973,0.35,0.35,0.35
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,4,40–50%,8,0,0.0,0.0,0.32440756488388023,0.44375,0.4,0.45
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,5,50–60%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,6,60–70%,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.625,0.6,0.65
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,7,70–80%,11,0,0.0,0.0,0.2588329669680317,0.7336363636363636,0.72,0.75
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,8,80–90%,2,0,0.0,0.0,0.6576197724933469,0.85,0.85,0.85
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,9,90–100%,56,0,0.0,6.938893903907228e-18,0.06419393671876342,0.9673214285714286,0.92,0.99
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,0,0–10%,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.03333333333333333,0.0,0.05
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,1,10–20%,4,0,0.0,0.0,0.4898908364545973,0.15,0.15,0.15
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,2,20–30%,7,0,0.0,5.551115123125783e-17,0.35433043506668743,0.24285714285714285,0.2,0.25
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,3,30–40%,5,0,0.0,0.0,0.43448246478317476,0.35,0.35,0.35
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,4,40–50%,7,0,0.0,5.551115123125783e-17,0.35433043506668743,0.45000000000000007,0.45,0.45
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,5,50–60%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,6,60–70%,3,0,0.0,5.551115123125783e-17,0.5614970317550454,0.6333333333333333,0.6,0.65
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,7,70–80%,16,0,0.0,0.0,0.1936076805344365,0.7362500000000001,0.7,0.78
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,8,80–90%,2,0,0.0,0.0,0.6576197724933469,0.835,0.82,0.85
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,9,90–100%,53,0,0.0,0.0,0.06758198857654187,0.967169811320755,0.92,1.0
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,0,0–10%,2,0,0.0,0.0,0.6576197724933469,0.05,0.05,0.05
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,1,10–20%,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.13333333333333333,0.1,0.15
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,2,20–30%,8,0,0.0,0.0,0.32440756488388023,0.25,0.25,0.25
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.34444444444444444,0.3,0.35
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,4,40–50%,4,0,0.0,0.0,0.4898908364545973,0.45,0.45,0.45
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,5,50–60%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,6,60–70%,4,1,0.25,0.04558726080970055,0.6993581574175981,0.65,0.65,0.65
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,7,70–80%,17,0,0.0,0.0,0.1843181350088518,0.7388235294117648,0.7,0.75
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,8,80–90%,3,0,0.0,5.551115123125783e-17,0.5614970317550454,0.85,0.85,0.85
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,9,90–100%,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.9716000000000002,0.92,0.99
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,0,0–10%,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,1,10–20%,2,0,0.0,0.0,0.6576197724933469,0.15,0.15,0.15
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,2,20–30%,3,0,0.0,5.551115123125783e-17,0.5614970317550454,0.2333333333333333,0.2,0.25
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,3,30–40%,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.3416666666666666,0.3,0.35
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,4,40–50%,9,0,0.0,0.0,0.2991450484195441,0.44999999999999996,0.45,0.45
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,5,50–60%,1,0,0.0,0.0,0.7934506856227626,0.55,0.55,0.55
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,6,60–70%,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.65,0.65,0.65
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,7,70–80%,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.7275,0.7,0.75
claude-haiku-4-5,Claude Haiku 4.5,QP7,absolute_bin,8,80–90%,5,0,0.0,0.0,0.43448246478317476,0.85,0.85,0.85
