model,intervention,setting,confidence_parse_status,confidence_parse_route,confidence_normalization,n,abstentions,candidate_answers_graded,stored_comparisons,stored_matches
claude-haiku-4-5,1,QP6,missing,none,none,4,1,1,0,0
claude-haiku-4-5,1,QP6,parsed,explicit_line,unit_interval,95,22,94,92,92
claude-haiku-4-5,1,QP6,parsed_prose,prose_fallback,unit_interval,1,1,1,0,0
claude-haiku-4-5,1,QP7,missing,none,none,6,0,0,0,0
claude-haiku-4-5,1,QP7,parsed,explicit_line,unit_interval,94,14,93,92,92
claude-haiku-4-5,1,Quant-100,missing,none,none,3,0,0,0,0
claude-haiku-4-5,1,Quant-100,parsed,explicit_line,unit_interval,96,25,96,91,91
claude-haiku-4-5,1,Quant-100,parsed_conflicting,explicit_line,unit_interval,1,0,1,1,True
claude-haiku-4-5,1,Quant-25,missing,none,none,4,1,0,0,0
claude-haiku-4-5,1,Quant-25,parsed,explicit_line,unit_interval,95,20,95,90,90
claude-haiku-4-5,1,Quant-25,parsed_prose,prose_fallback,unit_interval,1,1,1,0,0
claude-haiku-4-5,2,QP6,parsed,explicit_line,unit_interval,100,31,97,82,82
claude-haiku-4-5,2,QP7,parsed,explicit_line,unit_interval,100,29,96,85,85
claude-haiku-4-5,2,Quant-100,parsed,explicit_line,unit_interval,100,38,97,89,89
claude-haiku-4-5,2,Quant-25,parsed,explicit_line,unit_interval,99,37,96,78,78
claude-haiku-4-5,2,Quant-25,parsed_prose,prose_fallback,unit_interval,1,0,1,0,0
deepseek-v4-pro,1,QP6,missing,none,none,9,2,1,0,0
deepseek-v4-pro,1,QP6,parsed,explicit_line,unit_interval,90,1,88,84,78
deepseek-v4-pro,1,QP6,parsed_prose,prose_fallback,unit_interval,1,0,1,0,0
deepseek-v4-pro,1,QP7,missing,none,none,7,0,0,0,0
deepseek-v4-pro,1,QP7,parsed,explicit_line,unit_interval,90,9,85,76,70
deepseek-v4-pro,1,QP7,parsed_prose,prose_fallback,unit_interval,2,0,2,1,True
deepseek-v4-pro,1,Quant-100,missing,none,none,11,5,0,0,0
deepseek-v4-pro,1,Quant-100,parsed,explicit_line,unit_interval,88,4,85,62,58
deepseek-v4-pro,1,Quant-100,parsed_prose,prose_fallback,unit_interval,1,0,0,1,True
deepseek-v4-pro,1,Quant-25,missing,none,none,7,1,0,0,0
deepseek-v4-pro,1,Quant-25,parsed,explicit_line,unit_interval,91,4,87,72,70
