model,model_slug,qp,position,total,abstained,abstention_rate,indeterminate,answered,correct,selective_accuracy
Claude Haiku 4.5,claude-haiku-4-5,QP6,original,100,2,2.0,0,98,61,62.2
Claude Haiku 4.5,claude-haiku-4-5,QP6,beginning,100,2,2.0,0,98,62,63.3
Claude Haiku 4.5,claude-haiku-4-5,QP6,end,100,2,2.0,0,98,59,60.2
Claude Haiku 4.5,claude-haiku-4-5,QP7,original,100,2,2.0,0,98,64,65.3
Claude Haiku 4.5,claude-haiku-4-5,QP7,beginning,100,1,1.0,0,99,63,63.6
Claude Haiku 4.5,claude-haiku-4-5,QP7,end,100,1,1.0,0,99,61,61.6
DeepSeek V4 Pro,deepseek-v4-pro,QP6,original,100,2,2.0,5,93,87,93.5
DeepSeek V4 Pro,deepseek-v4-pro,QP6,beginning,100,3,3.0,4,93,85,91.4
DeepSeek V4 Pro,deepseek-v4-pro,QP6,end,100,3,3.0,6,91,85,93.4
DeepSeek V4 Pro,deepseek-v4-pro,QP7,original,100,2,2.0,5,93,88,94.6
DeepSeek V4 Pro,deepseek-v4-pro,QP7,beginning,100,2,2.0,7,91,87,95.6
DeepSeek V4 Pro,deepseek-v4-pro,QP7,end,100,1,1.0,9,90,85,94.4
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,original,100,0,0.0,0,100,58,58.0
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,beginning,100,4,4.0,0,96,55,57.3
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,end,100,0,0.0,0,100,57,57.0
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,original,100,1,1.0,0,99,61,61.6
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,beginning,100,0,0.0,0,100,58,58.0
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,end,100,0,0.0,0,100,62,62.0
GPT-5.4 Nano,gpt-5.4-nano,QP6,original,100,9,9.0,0,91,46,50.5
GPT-5.4 Nano,gpt-5.4-nano,QP6,beginning,100,12,12.0,0,88,50,56.8
GPT-5.4 Nano,gpt-5.4-nano,QP6,end,100,7,7.0,0,93,44,47.3
GPT-5.4 Nano,gpt-5.4-nano,QP7,original,100,4,4.0,0,96,46,47.9
GPT-5.4 Nano,gpt-5.4-nano,QP7,beginning,100,5,5.0,0,95,47,49.5
GPT-5.4 Nano,gpt-5.4-nano,QP7,end,100,5,5.0,0,95,50,52.6
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,original,100,3,3.0,0,97,82,84.5
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,beginning,100,4,4.0,0,96,84,87.5
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,end,100,2,2.0,0,98,87,88.8
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,original,100,9,9.0,0,91,81,89.0
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,beginning,100,4,4.0,0,96,81,84.4
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,end,100,6,6.0,0,94,83,88.3
