model,model_slug,qp,idx,cot_outcome,no_cot_outcome,cot_pred,no_cot_pred,ground_truth,no_cot_visible_reasoning,no_cot_refusal,no_cot_note
Claude Haiku 4.5,claude-haiku-4-5,QP6,539,incorrect,incorrect,302,403,516,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,903,incorrect,correct,7,\frac{11}{3},\frac{11}{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1464,correct,correct,356,356,356,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2279,correct,correct,1,1,1,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2637,correct,correct,1+\frac{1}{2009^2},1+\frac{1}{2009^2},\frac{4036082}{4036081},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,539,incorrect,incorrect,302,302,516,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,903,incorrect,correct,3,\frac{11}{3},\frac{11}{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1464,correct,correct,356,356,356,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2279,correct,correct,1,1,1,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2637,correct,correct,\frac{4036082}{4036081},\frac{4036082}{4036081},\frac{4036082}{4036081},True,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,539,correct,correct,516,516,516,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,903,correct,correct,\frac{11}{3},\frac{11}{3},\frac{11}{3},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,1464,correct,correct,356,356,356,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,2279,correct,correct,1,1,1,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,2637,correct,correct,\frac{4036082}{4036081},1+\frac{1}{2009^2},\frac{4036082}{4036081},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP7,539,correct,correct,516,516,516,True,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP7,903,correct,correct,\frac{11}{3},\frac{11}{3},\frac{11}{3},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP7,1464,correct,correct,356,356,356,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP7,2279,correct,correct,1,1,1,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP7,2637,correct,correct,\frac{4036082}{4036081},\frac{4036082}{4036081},\frac{4036082}{4036081},False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,539,incorrect,incorrect,1,101,516,False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,903,correct,incorrect,\frac{11}{3},2,\frac{11}{3},False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,1464,correct,incorrect,356,176,356,False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,2279,correct,correct,1,1,1,False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP6,2637,correct,incorrect,\frac{4036082}{4036081},2,\frac{4036082}{4036081},False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,539,incorrect,incorrect,101,1,516,False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,903,correct,incorrect,\frac{11}{3},2,\frac{11}{3},False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,1464,correct,incorrect,356,176,356,False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,2279,correct,correct,1,1,1,False,False,
Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,QP7,2637,correct,incorrect,\frac{4036082}{4036081},2,\frac{4036082}{4036081},False,False,
GPT-5.4 Nano,gpt-5.4-nano,QP6,539,incorrect,explicit_abstention,100a+b,UNSURE,516,False,False,Explicit UNSURE abstention; not a refusal.
GPT-5.4 Nano,gpt-5.4-nano,QP6,903,incorrect,incorrect,\frac{3}{4},3,\frac{11}{3},False,False,
GPT-5.4 Nano,gpt-5.4-nano,QP6,1464,incorrect,incorrect,0,354,356,True,False,
GPT-5.4 Nano,gpt-5.4-nano,QP6,2279,correct,correct,1,1,1,True,False,
GPT-5.4 Nano,gpt-5.4-nano,QP6,2637,correct,correct,1+\frac{1}{2009^2},\frac{4036082}{4036081},\frac{4036082}{4036081},True,False,
GPT-5.4 Nano,gpt-5.4-nano,QP7,539,incorrect,explicit_abstention,1,UNSURE,516,False,False,Explicit UNSURE abstention; not a refusal.
GPT-5.4 Nano,gpt-5.4-nano,QP7,903,incorrect,incorrect,\frac{4}{3},6,\frac{11}{3},False,False,
GPT-5.4 Nano,gpt-5.4-nano,QP7,1464,correct,incorrect,356,3,356,False,False,
GPT-5.4 Nano,gpt-5.4-nano,QP7,2279,correct,correct,1,1,1,True,False,
GPT-5.4 Nano,gpt-5.4-nano,QP7,2637,correct,incorrect,\frac{4036082}{4036081},2\cosh^2(\ln2009)-\sinh(\ln4036081),\frac{4036082}{4036081},False,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,539,instructed_no_box_abstention,correct,NO_BOX,516,516,True,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,903,correct,correct,\frac{11}{3},\frac{11}{3},\frac{11}{3},True,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,1464,correct,correct,356,356,356,True,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,2279,correct,correct,1,1,1,False,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP6,2637,correct,correct,\frac{4036082}{4036081},\frac{4036082}{4036081},\frac{4036082}{4036081},False,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,539,instructed_no_box_abstention,no_box_violation,NO_BOX,NO_BOX,516,True,False,"Visible solution with no boxed answer: protocol violation, not abstention."
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,903,correct,correct,\frac{11}{3},\frac{11}{3},\frac{11}{3},True,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,1464,correct,correct,356,356,356,True,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,2279,correct,correct,1,1,1,False,False,
Qwen3.5 397B A17B,qwen3.5-397b-a17b,QP7,2637,correct,correct,\frac{4036082}{4036081},\frac{4036082}{4036081},\frac{4036082}{4036081},True,False,
