proxy,model,model_display,contrast,low_setting,high_setting,adjusted_abstention_difference,ci_low,ci_high,bootstrap_p_value,common_support_n,overlap_low,overlap_high,bootstrap_successes,bootstrap_failures
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Quant-100 − Quant-25,Quant-25,Quant-100,-0.003729681163018053,-0.025269561512421414,0.0013968615150646419,0.1266551525618883,198,0.05,0.99,1736,264
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,QP7 − QP6,QP6,QP7,-0.0031208308701470245,-0.03159366800258052,0.008296508246282502,0.4916522740356937,199,0.05,0.99,1736,264
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Quant-100 − Quant-25,Quant-25,Quant-100,-0.008921944013361877,-0.03550468880731201,0.010097437413255727,0.3561484918793503,189,0.0,1.0,1723,277
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,QP7 − QP6,QP6,QP7,-0.008022116384155079,-0.0333075571035443,0.030262572576324833,0.6334106728538283,182,0.0,1.0,1723,277
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100 − Quant-25,Quant-25,Quant-100,-7.303696344762802e-05,-8.73500703373123e-05,-2.3140502798930267e-05,0.0010548523206751054,198,0.1,1.0,1895,105
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7 − QP6,QP6,QP7,-0.020713583546584657,-0.05154941717327166,-8.099440136519746e-05,0.04113924050632911,199,0.1,1.0,1895,105
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Quant-100 − Quant-25,Quant-25,Quant-100,0.010316756366582708,-0.021305075911224134,0.045510099064959335,0.5467266366816592,198,0.02,0.99,2000,0
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,QP7 − QP6,QP6,QP7,-0.08733942552131876,-0.14608634630016246,-0.03319058499033594,0.0009995002498750624,198,0.02,0.99,2000,0
setting_matched,qwen3.5-397b,Qwen3.5-397B,Quant-100 − Quant-25,Quant-25,Quant-100,-0.03205102705290387,-0.07248111272126313,-0.000294634153110424,0.03698150924537731,195,0.0,1.0,2000,0
setting_matched,qwen3.5-397b,Qwen3.5-397B,QP7 − QP6,QP6,QP7,-0.012623832363431437,-0.060851296724292916,0.034841127510366124,0.5527236381809095,182,0.05,1.0,2000,0
setting_matched,All models,All models,Quant-100 − Quant-25,Quant-25,Quant-100,-0.006438084375161597,-0.017350335319954065,0.003317020830460584,0.2098950524737631,983,0.0,1.0,2000,0
setting_matched,All models,All models,QP7 − QP6,QP6,QP7,-0.02879369119158878,-0.04954398138153092,-0.010464612936341634,0.0009995002498750624,968,0.0,1.0,2000,0
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Quant-100 − Quant-25,Quant-25,Quant-100,-1.3613055608655742e-05,-3.4975760087296505e-05,0.0,0.5362149532710281,200,0.05,0.9924999999999999,1711,289
question_mean,claude-haiku-4-5,Claude Haiku 4.5,QP7 − QP6,QP6,QP7,-0.009986282554574254,-0.03916097687564257,2.634611279139776e-19,0.31542056074766356,200,0.05,0.9924999999999999,1711,289
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Quant-100 − Quant-25,Quant-25,Quant-100,-0.011257670561188562,-0.04198257592204022,0.005804768736719818,0.26285714285714284,190,0.0,1.0,1749,251
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,QP7 − QP6,QP6,QP7,-0.010541604106043077,-0.03820729791679827,0.012257890931169949,0.3177142857142857,186,0.2475,1.0,1749,251
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100 − Quant-25,Quant-25,Quant-100,-7.231407526750445e-05,-0.00011397337205771146,-2.1475136498168993e-05,0.0010395010395010396,200,0.4875,1.0,1923,77
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7 − QP6,QP6,QP7,-0.019988775311287958,-0.05201188002053866,7.710068274471333e-18,0.10914760914760915,200,0.4875,1.0,1923,77
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Quant-100 − Quant-25,Quant-25,Quant-100,0.00997967003733482,-0.021517368541080648,0.04363741940227978,0.7086456771614192,200,0.09,0.99,2000,0
question_mean,gpt-5.4-nano,GPT-5.4 Nano,QP7 − QP6,QP6,QP7,-0.08112682564758976,-0.13885867535681948,-0.03226375646829963,0.0009995002498750624,199,0.09,0.99,2000,0
question_mean,qwen3.5-397b,Qwen3.5-397B,Quant-100 − Quant-25,Quant-25,Quant-100,-0.031337860317436114,-0.0693093150884772,-0.00021933526064758224,0.03398300849575212,197,0.25,1.0,2000,0
question_mean,qwen3.5-397b,Qwen3.5-397B,QP7 − QP6,QP6,QP7,-9.681724197083179e-05,-0.04948558201450021,0.04909256052168138,0.9475262368815592,198,0.25,1.0,2000,0
question_mean,All models,All models,Quant-100 − Quant-25,Quant-25,Quant-100,-0.006446051306061526,-0.01738764011305,0.003898524062390157,0.21189405297351324,987,0.0,1.0,2000,0
question_mean,All models,All models,QP7 − QP6,QP6,QP7,-0.024496945745392653,-0.0452956516104214,-0.007167839255631355,0.0069965017491254375,983,0.05,1.0,2000,0
