model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,0,0–10%,1,1,1.0,0.20654931437723745,1.0,0.05,0.05,0.05
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,1,10–20%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,2,20–30%,2,0,0.0,0.0,0.6576197724933469,0.2625,0.25,0.275
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,3,30–40%,2,0,0.0,0.0,0.6576197724933469,0.32499999999999996,0.3,0.35
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,4,40–50%,10,0,0.0,0.0,0.2775327998628892,0.433,0.4,0.4925
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,5,50–60%,13,0,0.0,0.0,0.22809537235419838,0.5498076923076923,0.5175,0.5975
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,6,60–70%,14,0,0.0,1.3877787807814457e-17,0.2153108027376358,0.645892857142857,0.6,0.6975
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,7,70–80%,10,0,0.0,0.0,0.2775327998628892,0.7475,0.71,0.78
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,8,80–90%,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.8341666666666668,0.8,0.8775
claude-haiku-4-5,Claude Haiku 4.5,Quant-25,absolute_bin,9,90–100%,42,0,0.0,0.0,0.08379879086570391,0.9754166666666668,0.9375,0.9924999999999999
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,0,0–10%,1,1,1.0,0.20654931437723745,1.0,0.05,0.05,0.05
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,1,10–20%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,2,20–30%,2,0,0.0,0.0,0.6576197724933469,0.2625,0.25,0.275
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,3,30–40%,2,0,0.0,0.0,0.6576197724933469,0.32499999999999996,0.3,0.35
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,4,40–50%,10,0,0.0,0.0,0.2775327998628892,0.433,0.4,0.4925
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,5,50–60%,13,0,0.0,0.0,0.22809537235419838,0.5498076923076923,0.5175,0.5975
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,6,60–70%,14,0,0.0,1.3877787807814457e-17,0.2153108027376358,0.6458928571428572,0.6,0.6975
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,7,70–80%,10,0,0.0,0.0,0.2775327998628892,0.7474999999999999,0.71,0.78
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,8,80–90%,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.8341666666666666,0.8,0.8775
claude-haiku-4-5,Claude Haiku 4.5,Quant-100,absolute_bin,9,90–100%,42,0,0.0,0.0,0.08379879086570391,0.9754166666666667,0.9375,0.9924999999999999
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,0,0–10%,1,1,1.0,0.20654931437723745,1.0,0.05,0.05,0.05
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,1,10–20%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,2,20–30%,2,0,0.0,0.0,0.6576197724933469,0.2625,0.25,0.275
claude-haiku-4-5,Claude Haiku 4.5,QP6,absolute_bin,3,30–40%,2,0,0.0,0.0,0.6576197724933469,0.32499999999999996,0.3,0.35
