model,model_display,intervention,intervention_display,setting,setting_display,consequence_type,penalty,decision_threshold,idx,difficulty,domain,source,category,abstained,outcome_valid,final_score,ground_truth,candidate_answer_raw,candidate_answer,candidate_parse_status,candidate_match_count,confidence_raw,confidence_line,confidence,confidence_parse_status,confidence_parse_route,confidence_normalization,confidence_match_count,confidence_conflict,stored_confidence_raw,stored_confidence_normalized,stored_confidence_match,source_path,candidate_correct
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1256,3.5,"[""Mathematics -> Algebra -> Algebra -> Equations and Inequalities""]",HMMT_2,correct,0,True,True,1,$x + y = 1$,x + y = 1,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2090,4.0,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations""]",HMMT_11,correct,0,True,True,\frac{2017}{2},$\frac{2017}{2}$ or $1008.5$,\frac{2017}{2}$ or $1008.5,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1331,3.5,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_2,correct,0,True,True,37,37,37,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1207,3.5,"[""Mathematics -> Geometry -> Plane Geometry -> Polygons""]",HMMT_2,correct,0,True,True,72,72,72,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1260,4.5,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Other""]",HMMT_2,correct,0,True,True,\frac{175}{1296},175/1296,175/1296,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2118,4.5,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_11,correct,0,True,True,14,14,14,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1199,4.0,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_2,correct,0,True,True,\frac{\sqrt{7}}{12},$\frac{\sqrt{7}}{12}$,\frac{\sqrt{7}}{12},parsed,1,0.92,CONFIDENCE: 0.92,0.92,parsed,explicit_line,unit_interval,1,False,0.92,0.92,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,224,4.5,"[""Mathematics -> Geometry -> Plane Geometry -> Polygons"", ""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_2,incorrect_standard,0,True,False,\frac{846\sqrt{3}}{49},,,missing,0,,,,missing,none,none,0,False,,,,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2128,5.0,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other""]",HMMT_11,correct,0,True,True,\frac{108}{665},$\frac{108}{665}$,\frac{108}{665},parsed,1,0.90,CONFIDENCE: 0.90,0.9,parsed,explicit_line,unit_interval,1,False,0.9,0.9,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2115,5.0,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations"", ""Mathematics -> Geometry -> Plane Geometry -> Polygons""]",HMMT_11,correct,0,True,True,820,820,820,parsed,1,0.85,CONFIDENCE: 0.85,0.85,parsed,explicit_line,unit_interval,1,False,0.85,0.85,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
