model,model_slug,qp,idx,cot_outcome,no_cot_outcome,cot_pred,no_cot_pred,ground_truth,no_cot_visible_reasoning,no_cot_refusal,no_cot_note
Claude Haiku 4.5,claude-haiku-4-5,QP6,30,incorrect,incorrect,(1)Answer:16;(2)Answer:9,"(1)10,\quad(2)10",6.25^2+3.75^2,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,64,incorrect,incorrect,\frac{\pi}{4},45°,{\angleNMB\cong45\cong\frac{\pi}{4}},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,82,correct,correct,\frac{1}{12},\frac{1}{12},\frac{1}{12},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,89,incorrect,incorrect,33°,71,33,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,190,incorrect,incorrect,\frac{360}{19}°,\frac{180}{19}°,\frac{1170}{19},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,224,incorrect,incorrect,12\sqrt{3},12\sqrt{3},\frac{846\sqrt{3}}{49},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,254,incorrect,explicit_abstention,4,UNSURE,436,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,258,incorrect,correct,1,10,10,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,280,incorrect,incorrect,40,45,17,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,303,incorrect,explicit_abstention,302,UNSURE,729,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,323,incorrect,incorrect,"N\approx29,000,000,000",1.3\times10^9,327680\cdot2^{16},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,412,incorrect,mixed_box_violation,3,[MIXED],4002001,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,413,correct,incorrect,4,1,4,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,427,incorrect,incorrect,\frac{75}{2},\frac{75}{2},\frac{256}{7},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,530,incorrect,incorrect,N\approx1024,540,1409,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,535,incorrect,incorrect,168,112,168+48\sqrt{7},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,539,incorrect,incorrect,302,403,516,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,613,incorrect,explicit_abstention,7,UNSURE,20160,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,627,incorrect,incorrect,126,126,105,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,650,correct,correct,2^{4031}-2016\cdot2^{2016}-2^{2015},2^{4030}-2^{2016},2^{2015}\cdot(2^{2017}-2018),True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,742,explicit_abstention,explicit_abstention,UNSURE,UNSURE,80,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,744,correct,correct,100,100,100,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,751,incorrect,incorrect,\frac{5\pi}{2},\frac{5\pi}{2},\frac{2\pi-\sqrt{3}}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,760,correct,correct,5,5,5,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,855,correct,incorrect,24,25,24,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,873,explicit_abstention,no_box_violation,UNSURE,NO_BOX,\frac{1}{3}(3x)+\frac{2}{3}(9),True,True,
Claude Haiku 4.5,claude-haiku-4-5,QP6,878,incorrect,incorrect,4+\sqrt{807},89,29,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,903,incorrect,correct,7,\frac{11}{3},\frac{11}{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,933,incorrect,incorrect,243,243,32,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,936,incorrect,incorrect,\frac{(n-1)(3n+1)}{8},\frac{(n-1)(n-2)}{2},\binom{n}{2}-(n-2),True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1024,correct,correct,6,6,6,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1053,incorrect,incorrect,3,3,4,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1059,incorrect,incorrect,n-1,n,\lfloor\frac{-1+\sqrt{1+8n}}{2}\rfloor,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1067,correct,correct,41,41,41,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1082,correct,correct,64,64,64,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1134,correct,correct,320,320,320,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1184,correct,correct,4,4,4,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1189,correct,correct,1872,1872,1872,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1199,incorrect,correct,\frac{\sqrt{14}}{12},\frac{\sqrt{7}}{12},\frac{\sqrt{7}}{12},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1207,correct,correct,72,72,72,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1244,correct,correct,\frac{3\sqrt{11}}{2},\frac{3\sqrt{11}}{2},\frac{3\sqrt{11}}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1256,correct,correct,1,1,1,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1260,correct,correct,\frac{175}{1296},\frac{175}{1296},\frac{175}{1296},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1331,correct,correct,37,37,37,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1342,correct,correct,470,470,470,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1362,correct,correct,55,55,55,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1401,correct,correct,\frac{1}{9},\frac{1}{9},\frac{1}{9},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1404,incorrect,correct,556,673,673,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1459,correct,correct,899,899,899,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1464,correct,correct,356,356,356,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1470,correct,correct,\frac{592}{969},\frac{592}{969},\frac{592}{969},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1534,incorrect,explicit_abstention,12,UNSURE,153,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1541,correct,correct,153,153,153,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1564,incorrect,incorrect,12328,6642,134610,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1638,correct,correct,\frac{\pi}{4},\frac{\pi}{4},\frac{\pi}{4},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1671,correct,correct,1980,1980,1980,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1683,correct,correct,26,26,26,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1701,correct,correct,\frac{1-\sqrt{2}}{2},\frac{1-\sqrt{2}}{2},\frac{1-\sqrt{2}}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1723,correct,correct,5,5,5,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1724,correct,correct,12,12,12,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1733,correct,correct,100,100,100,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1758,correct,correct,225,225,225,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1765,correct,correct,342,342,342,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1768,incorrect,incorrect,29,29,35,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1770,correct,correct,144,144,144,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1774,correct,correct,3,3,3,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1794,correct,correct,5460,5460,5460,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1803,incorrect,correct,\frac{4-\pi}{3},2-\frac{\pi}{2},2-\frac{\pi}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1815,correct,correct,\frac{2}{9},\frac{2}{9},\frac{2}{9},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1821,correct,incorrect,\frac{153}{1180},\frac{15}{236},\frac{153}{1180},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1852,correct,correct,\frac{1}{1296},\frac{1}{1296},\frac{1}{1296},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1938,correct,correct,\sqrt{3},\sqrt{3},\sqrt{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,1953,incorrect,correct,\frac{5}{18},\frac{5}{12},\frac{5}{12},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2011,correct,correct,314,314,314,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2034,incorrect,incorrect,\frac{2+\sqrt{7}}{3},\frac{3}{2},\frac{5}{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2041,correct,correct,2010\cdot2^{2012}+4023,2^{2013}-6036,2^{2013}-6036,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2074,incorrect,incorrect,2014,3024,7295,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2090,correct,correct,1008.5,\frac{2017}{2},\frac{2017}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2115,correct,correct,820,820,820,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2118,correct,correct,14,14,14,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2128,correct,correct,\frac{108}{665},\frac{108}{665},\frac{108}{665},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2130,incorrect,correct,10+\frac{2\sqrt{15}}{3},7,7,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2133,correct,correct,\frac{163}{256},\frac{163}{256},\frac{163}{256},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2197,correct,correct,117,117,117,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2201,correct,correct,71,71,71,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2227,correct,correct,6,6,6,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2242,correct,correct,0,0,0,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2279,correct,correct,1,1,1,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2291,correct,correct,\frac{1}{8},\frac{1}{8},\frac{1}{8},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2332,correct,correct,46,46,46,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2350,correct,correct,56,56,56,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2416,correct,correct,2,2,2,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2447,correct,correct,5,5,5,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2507,correct,incorrect,192,198,192,True,False,
