proxy,model,model_display,setting,n,unique_problems,abstentions,spearman_rho,rho_ci_low,rho_ci_high,lower_confidence_auc,auc_ci_low,auc_ci_high,bootstrap_successes
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Quant-25,100,100,1,-0.1715095653314979,-0.33628922398923927,-0.16466116879122553,0.98989898989899,0.9690721649484536,1.0,1240
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Quant-100,100,100,1,-0.17435325264547982,-0.3423027067073961,-0.17368442707956475,1.0,1.0,1.0,1277
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,QP6,100,100,2,-0.17456358385861045,-0.30039002076957927,-0.06561614211806434,0.854591836734694,0.6785714285714285,1.0,1719
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,QP7,100,100,1,-0.17472599211398718,-0.34266014941694306,-0.17389358693456025,1.0,1.0,1.0,1265
setting_matched,claude-haiku-4-5,Claude Haiku 4.5,Pooled,400,100,5,-0.1721448078208896,-0.3004240179622924,-0.034798592490992764,0.9412658227848102,0.6891771304836398,0.9974747474747475,1755
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,93,93,2,-0.3453992935259866,-0.568167071681418,-0.19546360597748222,0.9395604395604396,0.8641304347826086,0.9891304347826088,1741
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,96,96,1,-0.26965363854933005,-0.5136415944697647,-0.23182092077923608,0.9842105263157895,0.9631578947368421,1.0,1279
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,QP6,93,93,2,-0.4710390224716331,-0.7447408410576366,-0.28747117967015284,0.9807692307692307,0.9456521739130436,1.0,1753
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,QP7,89,89,1,0.04586268280862957,0.03345951437341078,0.09345304030982685,0.42045454545454547,0.3806818181818182,0.45454545454545453,1265
setting_matched,deepseek-v4-pro,DeepSeek V4 Pro,Pooled,371,98,6,-0.2696792038606921,-0.4284452613852943,-0.16632480160081248,0.8753424657534247,0.8379293278084714,0.9464187875574408,1697
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,100,100,0,,,,,,,0
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,100,100,0,,,,,,,0
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,100,100,3,-0.0025717661279136494,-0.1987424061348517,0.13112946065977596,0.5034364261168385,0.3280073924731183,0.8131313131313131,1893
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,100,100,1,0.058858940267885934,0.04838003909783915,0.11652379354523099,0.3686868686868687,0.32142857142857145,0.41237113402061853,1281
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,400,100,4,0.006882968043535161,-0.10134256321942876,0.07563073562568366,0.48484848484848486,0.3545909371418496,0.8205087939698493,1916
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Quant-25,100,100,3,-0.05714548599088262,-0.23689367814430168,0.16922359879348828,0.5962199312714777,0.1134020618556701,0.904040404040404,1915
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Quant-100,99,99,4,-0.263634200321624,-0.38774628811970563,-0.12447275010436969,0.8855263157894737,0.7861294566151202,0.9795918367346939,1966
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,QP6,99,99,11,-0.11780846842467757,-0.3028860562640069,0.09133470670718595,0.6079545454545454,0.4085797491039427,0.7912461180124222,2000
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,QP7,100,100,3,-0.02338987676416859,-0.22183309494490724,0.22800071939902392,0.5395189003436426,0.030303030303030304,0.8838383838383839,1912
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Pooled,398,100,21,-0.10259674342955061,-0.21721824164062556,0.024976656689192054,0.632183908045977,0.4693029392051727,0.7947111178976464,2000
setting_matched,qwen3.5-397b,Qwen3.5-397B,Quant-25,97,97,6,0.04922854076163167,-0.18395880463486045,0.1967310660830028,0.45238095238095244,0.3076267482517483,0.6827956989247312,1998
setting_matched,qwen3.5-397b,Qwen3.5-397B,Quant-100,98,98,3,-0.19441981976892528,-0.4126657691533041,0.08126823030148976,0.7456140350877193,0.3711340206185567,0.9690721649484536,1888
setting_matched,qwen3.5-397b,Qwen3.5-397B,QP6,96,96,5,-0.12161162682057886,-0.3856367064920164,0.10812000531413801,0.6120879120879121,0.3817204301075269,0.925531914893617,1985
setting_matched,qwen3.5-397b,Qwen3.5-397B,QP7,91,91,4,-0.12818907405809654,-0.3569111450540815,0.09408138615156475,0.6307471264367817,0.38202247191011235,0.9213483146067416,1967
setting_matched,qwen3.5-397b,Qwen3.5-397B,Pooled,382,100,18,-0.08629605636792502,-0.24323818677249953,0.06934054486122647,0.588446275946276,0.4216652475315534,0.754879639535617,2000
setting_matched,All models,All models,Pooled,1951,100,54,-0.1059086939167857,-0.15918564550711176,-0.047886868153181675,0.6765750990843242,0.6019395859309474,0.7746758417655979,2000
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Quant-25,100,100,1,-0.17287588228561254,-0.34012541905260285,-0.17256036036733355,1.0,1.0,1.0,1271
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Quant-100,100,100,1,-0.17287588228561254,-0.34018820182712867,-0.1725493321501903,1.0,1.0,1.0,1296
question_mean,claude-haiku-4-5,Claude Haiku 4.5,QP6,100,100,2,-0.16878260478495954,-0.30272153630746546,-0.05058326389237779,0.8469387755102041,0.6352093962585034,1.0,1758
question_mean,claude-haiku-4-5,Claude Haiku 4.5,QP7,100,100,1,-0.17287588228561254,-0.339976451353072,-0.17257044329275828,1.0,1.0,1.0,1248
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Pooled,400,100,5,-0.16928604495689734,-0.2970584932468958,-0.0269354251213008,0.9384810126582279,0.6306532663316583,1.0,1730
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,94,94,2,-0.2808264950098148,-0.4544783186722512,-0.17502505375695537,0.9538043478260869,0.8924731182795699,0.9945353559483994,1741
